Split,AUC,PR-AUC,Recall,Precision,Accuracy,Brier
Train,0.999519387037497,0.9974175911038197,0.9891214768419317,0.953296266878475,0.990710156895128,0.015372108668088913
Validation,0.9698410804484067,0.9214931731292091,0.8500576701268743,0.8599766627771295,0.9548410404624278,0.03995389863848686
Test,0.9685819481015332,0.9140179723200623,0.8240046162723601,0.8439716312056738,0.9486137451458503,0.04202505946159363
